hsk_id,hanzi,pinyin,pos,level,meaning_ko,topic,example_zh,example_pinyin,example_ko,meaning_en,frequency
L3-0431,老太太,lǎotàitai,N,3,,,,,,elderly lady (respectful); esteemed mother,7407
L3-0432,老头儿,lǎotóur,N,3,,,,,,see 老头子,21642
L3-0433,乐,lè,V,3,,,,,,surname Le,1572
L3-0434,乐观,lèguān,Adj,3,,,,,,optimistic; hopeful,4002
L3-0435,类,lèi,N/M,3,,,,,,kind; type; class; category,1096
L3-0436,类似,lèisì,V/Adj,3,,,,,,similar; analogous,2276
L3-0437,离婚,líhūn,,3,,,,,,to divorce,2723
L3-0438,里面,lǐmiàn,N,3,,,,,,inside; interior; also pr. [lǐ mian],648
L3-0439,理发,lǐfà,,3,,,,,,to get a haircut; to have one's hair done; to cut (sb's) hair; to give (sb) a haircut,13406
L3-0440,理解,lǐjiě,V,3,,,,,,to comprehend; to understand,884
L3-0441,理论,lǐlùn,N,3,,,,,,theory; to argue; to take notice of,1462
L3-0442,理由,lǐyóu,N,3,,,,,,reason; grounds; justification,1280
L3-0443,力,lì,N,3,,,,,,surname Li,851
L3-0444,力量,lìliàng,N,3,,,,,,power; force; strength,900
L3-0445,立刻,lìkè,Adv,3,,,,,,forthwith; immediate; prompt; promptly,1875
L3-0446,利用,lìyòng,V,3,,,,,,to exploit; to make use of; to use; to take advantage of,766
L3-0447,连,lián,V/Adv,3,,,,,,surname Lian,406
L3-0448,连忙,liánmáng,Adv,3,,,,,,promptly; at once,50741
L3-0449,连续,liánxù,V,3,,,,,,continuous; in a row; serial; consecutive,2315
L3-0450,连续剧,liánxùjù,N,3,,,,,,serialized drama; dramatic series; show in parts,14541
L3-0451,联合,liánhé,V,3,,,,,,to combine; to join; unite; alliance,2190
L3-0452,联合国,Liánhéguó,N,3,,,,,,United Nations,4037
L3-0453,联系,liánxì,V/N,3,,,,,,variant of 联系,667
L3-0454,凉水,liángshuǐ,N,3,,,,,,cool water; unboiled water,25250
L3-0455,了,liǎo,V,3,,,,,,to finish; to achieve; variant of 了; to understand clearly,3
L3-0456,领,lǐng,V,3,,,,,,neck; collar; to lead; to receive,2044
L3-0457,领导,lǐngdǎo,V/N,3,,,,,,lead; leading; to lead; leadership,1433
L3-0458,领先,lǐngxiān,,3,,,,,,to lead; to be in front,2791
L3-0459,另外,lìngwài,Pron/Adv/Conj,3,,,,,,additional; in addition; besides; separate,725
L3-0460,另一方面,lìng yīfāngmiàn,,3,,,,,,on the other hand; another aspect,4851
L3-0461,留学,liúxué,,3,,,,,,to study abroad,15630
L3-0462,龙,lóng,N,3,,,,,,surname Long,1547
L3-0463,录,lù,V,3,,,,,,to carve wood,2200
L3-0464,录音,lùyīn,V/N,3,,,,,,to record (sound); sound recording,5402
L3-0465,路线,lùxiàn,N,3,,,,,,itinerary; route; political line (e.g. right revisionist road),2824
L3-0466,旅馆,lǚguǎn,N,3,,,,,,hotel,5705
L3-0467,旅行社,lǚxíngshè,N,3,,,,,,travel agency,11103
L3-0468,绿茶,lǜchá,N,3,,,,,,green tea; (slang) (of a girl) seemingly innocent and charming but actually calculating and manipulative; a girl who has these qualities,15567
L3-0469,乱,luàn,Adj,3,,,,,,in confusion or disorder; in a confused state of mind; disorder; upheaval,1206
L3-0470,落后,luòhòu,,3,,,,,,to fall behind; to lag (in technology etc); backward; to retrogress,3824
L3-0471,麻烦,máfan,V/Adj,3,,,,,,trouble; inconvenience; inconvenient; troublesome; annoying; to bother sb; to put sb to trouble,1492
L3-0472,马,mǎ,N,3,,,,,,surname Ma; abbr. for Malaysia 马来西亚,605
L3-0473,满足,mǎnzú,V,3,,,,,,to satisfy; to meet (the needs of); satisfied; content,1555
L3-0474,慢慢,mànmàn,,3,,,,,,slowly,1664
L3-0475,毛,máo,N,3,,,,,,surname Mao,1319
L3-0476,毛病,máobìng,N,3,,,,,,fault; defect; shortcomings; ailment,4966
L3-0477,没用,méiyòng,V,3,,,,,,useless,4841
L3-0478,媒体,méitǐ,N,3,,,,,,"media, esp. news media",1246
L3-0479,每,měi,Pron/Adv,3,,,,,,each; every,340
L3-0480,美,měi,Adj,3,,,,,,(bound form) the Americas (abbr. for 洲); (bound form) USA (abbr. for 美国),343
L3-0481,美好,měihǎo,Adj,3,,,,,,beautiful; fine,1500
L3-0482,美丽,měilì,Adj,3,,,,,,beautiful,1262
L3-0483,美食,měishí,N,3,,,,,,culinary delicacy; fine food; gourmet food,6046
L3-0484,美术,měishù,N,3,,,,,,art; fine arts; painting,9170
L3-0485,美元,měiyuán,N,3,,,,,,American dollar; US dollar,516
L3-0486,迷,mí,V,3,,,,,,to bewilder; crazy about; fan; enthusiast,2123
L3-0487,米,mǐ,N,3,,,,,,surname Mi,663
L3-0488,面对,miànduì,V,3,,,,,,to face; to confront,973
L3-0489,面积,miànjī,N,3,,,,,,"area (of a floor, piece of land etc); surface area; tract of land",6252
L3-0490,民间,mínjiān,N,3,,,,,,among the people; popular; folk; non-governmental,7015
L3-0491,民族,mínzú,N,3,,,,,,nationality; ethnic group,3724
L3-0492,明确,míngquè,Adj/V,3,,,,,,clear-cut; definite; explicit; to clarify; to specify; to make definite,2369
L3-0493,明显,míngxiǎn,Adj,3,,,,,,clear; distinct; obvious,710
L3-0494,命运,mìngyùn,N,3,,,,,,fate; destiny,2268
L3-0495,某,mǒu,Pron,3,,,,,,some; a certain; sb or sth indefinite; such-and-such,913
L3-0496,母亲,mǔqīn,N,3,,,,,,mother; also pr. [mǔ qin],983
L3-0497,木头,mùtou,N,3,,,,,,"slow-witted; blockhead; log (of wood, timber etc)",8812
L3-0498,目标,mùbiāo,N,3,,,,,,target; goal; objective,657
L3-0499,目前,mùqián,N,3,,,,,,at the present time; currently,603
L3-0500,奶茶,nǎichá,N,3,,,,,,milk tea,20075
L3-0501,男子,nánzǐ,N,3,,,,,,a man; a male,2377
L3-0502,南部,nánbù,N,3,,,,,,southern part,4773
L3-0503,难道,nándào,Adv,3,,,,,,don't tell me ...; could it be that...?,1147
L3-0504,难度,nándù,N,3,,,,,,degree of difficulty,4295
L3-0505,内,nèi,N,3,,,,,,inside; inner; internal; within,319
L3-0506,内容,nèiróng,N,3,,,,,,content; substance; details,1246
L3-0507,内心,nèixīn,N,3,,,,,,heart; innermost being; (math.) incenter,1974
L3-0508,能不能,néng bu néng,,3,,,,,,Can you,3153
L3-0509,能力,nénglì,N,3,,,,,,capability; ability,534
L3-0510,年初,niánchū,N,3,,,,,,beginning of the year,18414
L3-0511,年代,niándài,N,3,,,,,,a decade of a century (e.g. the Sixties); age; era; period,1430
L3-0512,年底,niándǐ,N,3,,,,,,the end of the year; year-end,12203
L3-0513,年纪,niánjì,N,3,,,,,,age,3247
L3-0514,念,niàn,V,3,,,,,,"variant of 念, to read aloud",2410
L3-0515,牛,niú,N,3,,,,,,surname Niu,1148
L3-0516,农村,nóngcūn,N,3,,,,,,rural area; village,8305
L3-0517,农民,nóngmín,N,3,,,,,,peasant; farmer,3710
L3-0518,农业,nóngyè,N,3,,,,,,agriculture; farming,6155
L3-0519,女子,nǚzǐ,N,3,,,,,,woman; female,2271
L3-0520,暖和,nuǎnhuo,Adj,3,,,,,,warm; nice and warm,8118
L3-0521,怕,pà,Adv,3,,,,,,surname Pa,899
L3-0522,拍,pāi,V,3,,,,,,to pat; to clap; to slap; to swat,567
L3-0523,排,pái,V,3,,,,,,a row; a line; to set in order; to arrange,1188
L3-0524,排名,páimíng,,3,,,,,,"to rank (1st, 2nd etc); ranking",4870
L3-0525,牌子,páizi,N,3,,,,,,sign; trademark; brand,5484
L3-0526,派,pài,V/N,3,,,,,,clique; school; group; faction,751
L3-0527,判断,pànduàn,V/N,3,,,,,,to judge; to determine; judgment,2480
L3-0528,胖,pàng,Adj,3,,,,,,fat; plump,2396
L3-0529,跑步,pǎobù,,3,,,,,,to run; to jog; (military) to march at the double,7199
L3-0530,配,pèi,V,3,,,,,,to join; to fit; to mate; to mix,1557
L3-0531,配合,pèihé,V,3,,,,,,matching; fitting in with; compatible with; to correspond,2349
L3-0532,批评,pīpíng,V,3,,,,,,to criticize; criticism,3504
L3-0533,批准,pīzhǔn,V,3,,,,,,to approve; to ratify,2614
L3-0534,皮,pí,N,3,,,,,,surname Pi,1409
L3-0535,皮包,píbāo,N,3,,,,,,handbag; briefcase,14469
L3-0536,啤酒,píjiǔ,N,3,,,,,,beer (loanword),2622
L3-0537,票价,piàojià,N,3,,,,,,ticket price; fare; admission fee,13687
L3-0538,评价,píngjià,V/N,3,,,,,,to evaluate; to assess,2119
L3-0539,苹果,píngguǒ,N,3,,,,,,apple,2562
L3-0540,破,pò,Adj/V,3,,,,,,broken; damaged; worn out; lousy,1272
L3-0541,破坏,pòhuài,V,3,,,,,,destruction; damage; to wreck; to break,1527
L3-0542,普遍,pǔbiàn,Adj,3,,,,,,universal; general; widespread; common,5800
L3-0543,普及,pǔjí,V/Adj,3,,,,,,to spread extensively; to generalize; widespread; popular,17888
L3-0544,期,qī,M,3,,,,,,variant of 期; period; cycle,1473
L3-0545,齐,qí,Adj/V,3,,,,,,(name of states and dynasties at several different periods); surname Qi,2763
L3-0546,其次,qícì,Pron,3,,,,,,next; secondly,3998
L3-0547,其实,qíshí,Adv,3,,,,,,actually; in fact; really,405
L3-0548,奇怪,qíguài,Adj,3,,,,,,strange; odd; to marvel; to be baffled,1655
L3-0549,气候,qìhòu,N,3,,,,,,(meteorology) climate; (fig.) climate; prevailing conditions (in human affairs),6570
L3-0550,千万,qiānwàn,Adv,3,,,,,,ten million; countless; many; one must by all means,1708
L3-0551,前后,qiánhòu,N,3,,,,,,around; from beginning to end; all around; front and rear,6275
L3-0552,前进,qiánjìn,V,3,,,,,,to go forward; to forge ahead; to advance; onward,2618
L3-0553,前面,qiánmiàn,N,3,,,,,,ahead; in front; preceding; above,1789
L3-0554,前往,qiánwǎng,V,3,,,,,,to leave for; to proceed towards; to go to,2491
L3-0555,强,qiáng,Adj,3,,,,,,surname Qiang,529
L3-0556,强大,qiángdà,Adj,3,,,,,,large; formidable; powerful; strong,1814
L3-0557,强调,qiángdiào,V,3,,,,,,to emphasize (a statement); to stress,3839
L3-0558,强烈,qiángliè,Adj,3,,,,,,strong; intense,2212
L3-0559,桥,qiáo,N,3,,,,,,bridge,2120
L3-0560,巧,qiǎo,Adj,3,,,,,,opportunely; coincidentally; as it happens; skillful,4427
L3-0561,亲,qīn,Adj,3,,,,,,parent; one's own (flesh and blood); relative; related,1044
L3-0562,亲切,qīnqiè,Adj,3,,,,,,amiable; cordial; close and dear; familiar,6543
L3-0563,亲人,qīnrén,N,3,,,,,,one's close relatives,4699
L3-0564,亲自,qīnzì,Adv,3,,,,,,personally; in person; oneself,2353
L3-0565,情感,qínggǎn,N,3,,,,,,feeling; emotion; to move (emotionally),2942
L3-0566,情况,qíngkuàng,N,3,,,,,,circumstances; state of affairs; situation,245
L3-0567,请教,qǐngjiào,V,3,,,,,,to ask for guidance; to consult,11806
L3-0568,庆祝,qìngzhù,V,3,,,,,,to celebrate,2543
L3-0569,球迷,qiúmí,N,3,,,,,,fan (ball sports),4097
L3-0570,区,qū,N,3,,,,,,area; region; district; small,638
L3-0571,区别,qūbié,N/V,3,,,,,,difference; to distinguish; to discriminate; to make a distinction,2566
L3-0572,取消,qǔxiāo,V,3,,,,,,to cancel; cancellation,1880
L3-0573,去世,qùshì,V,3,,,,,,to pass away; to die,3502
L3-0574,全场,quánchǎng,N,3,,,,,,everyone present; the whole audience; across-the-board; unanimously,5847
L3-0575,全面,quánmiàn,Adj,3,,,,,,all-around; comprehensive; total; overall,2552
L3-0576,全球,quánqiú,N,3,,,,,,entire; total; global; the (whole) world,1858
L3-0577,缺,quē,V,3,,,,,,deficiency; lack; scarce; vacant post,2448
L3-0578,缺点,quēdiǎn,N,3,,,,,,weak point; fault; shortcoming; disadvantage,5178
L3-0579,缺少,quēshǎo,V,3,,,,,,lack; shortage of; shortfall; to be short (of),4326
L3-0580,确保,quèbǎo,V,3,,,,,,to ensure; to guarantee,1674
L3-0581,确定,quèdìng,Adj/V,3,,,,,,definite; certain; fixed; to fix (on sth),651
L3-0582,确实,quèshí,Adj/Adv,3,,,,,,indeed; really; reliable; real,850
L3-0583,裙子,qúnzi,N,3,,,,,,skirt,5466
L3-0584,群,qún,M,3,,,,,,variant of 群,1165
L3-0585,热爱,rè'ài,V,3,,,,,,to love ardently; to adore,4185
L3-0586,热烈,rèliè,Adj,3,,,,,,enthusiastic; ardent; warm,4022
L3-0587,人才,réncái,N,3,,,,,,talent; talented person; looks; attractive looks,2673
L3-0588,人工,réngōng,N/Adj,3,,,,,,artificial; manpower; manual work,5772
L3-0589,人类,rénlèi,N,3,,,,,,humanity; human race; mankind,1038
L3-0590,人民,rénmín,N,3,,,,,,the people,970
L3-0591,人民币,rénmínbì,N,3,,,,,,Renminbi (RMB); Chinese Yuan (CNY),21641
L3-0592,人群,rénqún,N,3,,,,,,crowd,2966
L3-0593,人生,rénshēng,N,3,,,,,,life (one's time on earth),926
L3-0594,人员,rényuán,N,3,,,,,,staff; crew; personnel,671
L3-0595,认出,rènchū,,3,,,,,,recognition; to recognize,6504
L3-0596,认得,rènde,V,3,,,,,,to recognize; to remember sth (or sb) on seeing it; to know,9203
L3-0597,认可,rènkě,V,3,,,,,,to approve; approval; acknowledgment; OK,5077
L3-0598,任,rèn,V,3,,,,,,to assign; to appoint; to take up a post; office,1943
L3-0599,任,rèn,Conj,3,,,,,,to assign; to appoint; to take up a post; office,1943
L3-0600,任何,rènhé,Pron,3,,,,,,any; whatever; whichever; whatsoever,356
L3-0601,任务,rènwu,N,3,,,,,,mission; assignment; task; duty; role,664
L3-0602,仍,réng,Adv,3,,,,,,still; yet; to remain; (literary) frequently; often,1050
L3-0603,仍然,réngrán,Adv,3,,,,,,still; as before; yet,1029
L3-0604,日常,rìcháng,Adj,3,,,,,,day-to-day; daily; everyday,5145
L3-0605,容易,róngyì,Adj,3,,,,,,easy; straightforward; likely; liable to; apt to,664
L3-0606,如何,rúhé,Pron,3,,,,,,how; what way; what,391
L3-0607,散步,sànbù,,3,,,,,,to take a walk; to go for a walk,6153
L3-0608,沙发,shāfā,N,3,,,,,,sofa (loanword); (Internet slang) the first reply or replier to a forum post,3832
L3-0609,沙子,shāzi,N,3,,,,,,sand; grit,11546
L3-0610,伤,shāng,V/N,3,,,,,,to injure; injury; wound,715
L3-0611,伤心,shāngxīn,,3,,,,,,to grieve; to be broken-hearted; to feel deeply hurt,2543
L3-0612,商品,shāngpǐn,N,3,,,,,,commodity; goods; merchandise,3735
L3-0613,商业,shāngyè,N,3,,,,,,business; trade; commerce,2129
L3-0614,上来,shànglái,,3,,,,,,to come up; to approach; (verb complement indicating success),3160
L3-0615,上面,shàngmiàn,N,3,,,,,,on top of; above-mentioned; also pr. [shàng mian],1248
L3-0616,上去,shàngqù,,3,,,,,,to go up,2127
L3-0617,上升,shàngshēng,V,3,,,,,,to rise; to go up; to ascend,2810
L3-0618,上衣,shàngyī,N,3,,,,,,jacket; upper outer garment,7489
L3-0619,设备,shèbèi,N,3,,,,,,equipment; facilities; installations,1590
L3-0620,设计,shèjì,V/N,3,,,,,,to design; to plan; design; plan,765
L3-0621,设立,shèlì,V,3,,,,,,to set up; to establish,5179
L3-0622,社会,shèhuì,N,3,,,,,,society,836
L3-0623,身份证,shēnfènzhèng,N,3,,,,,,identity card; ID,4226
L3-0624,深,shēn,Adj,3,,,,,,old variant of 深,1014
L3-0625,深刻,shēnkè,Adj,3,,,,,,profound; deep; deep-going,2542
L3-0626,深入,shēnrù,V/Adj,3,,,,,,to penetrate deeply; thorough,2940
L3-0627,升,shēng,V,3,,,,,,to ascend; to rise to the rank of; to promote; to hoist,1863
L3-0628,生,shēng,Adj,3,,,,,,to be born; to give birth; life; to grow,558
L3-0629,生产,shēngchǎn,V,3,,,,,,to produce; to manufacture; to give birth to a child,2146
L3-0630,生存,shēngcún,V,3,,,,,,to exist; to survive,2389
L3-0631,生动,shēngdòng,Adj,3,,,,,,vivid; lively,7805
L3-0632,生命,shēngmìng,N,3,,,,,,life (as the characteristic of living beings); living being; creature,705
L3-0633,生意,shēngyi,N,3,,,,,,business,2112
L3-0634,生长,shēngzhǎng,V,3,,,,,,to grow; to grow up; to be brought up,4189
L3-0635,声明,shēngmíng,V/N,3,,,,,,to state; to declare; statement; declaration,2813
L3-0636,胜,shèng,V,3,,,,,,victory; success; to beat; to defeat,1663
L3-0637,胜利,shènglì,V/N,3,,,,,,victory,1445
L3-0638,失去,shīqù,V,3,,,,,,to lose,949
L3-0639,石头,shítou,N,3,,,,,,stone,3169
L3-0640,石油,shíyóu,N,3,,,,,,oil; petroleum,2940
L3-0641,时,shí,N,3,,,,,,old variant of 时,115
L3-0642,时代,shídài,N,3,,,,,,"Time, US weekly news magazine",1384
L3-0643,时刻,shíkè,N/Adv,3,,,,,,time; juncture; moment; period of time,1705
L3-0644,实际上,shíjìshàng,Adv,3,,,,,,in fact; in reality; as a matter of fact; in practice,1232
L3-0645,实力,shílì,N,3,,,,,,strength,2445
L3-0646,实行,shíxíng,V,3,,,,,,to implement; to carry out; to put into practice,4383
L3-0647,实验,shíyàn,V/N,3,,,,,,experiment; test; experimental; to experiment,1879
L3-0648,实验室,shíyànshì,N,3,,,,,,laboratory,3028
L3-0649,食品,shípǐn,N,3,,,,,,foodstuff; food; provisions,2176
L3-0650,使,shǐ,V,3,,,,,,to make; to cause; to enable; to use,400
L3-0651,始终,shǐzhōng,Adv,3,,,,,,from beginning to end; all along,2984
L3-0652,世纪,shìjì,N,3,,,,,,century,1599
L3-0653,世界,shìjiè,N,3,,,,,,world,238
L3-0654,世界杯,shìjièbēi,N,3,,,,,,World Cup,8383
L3-0655,市场,shìchǎng,N,3,,,,,,marketplace; market (also in abstract),1190
L3-0656,事故,shìgù,N,3,,,,,,accident,1493
L3-0657,事件,shìjiàn,N,3,,,,,,event; happening; incident,973
L3-0658,事实,shìshí,N,3,,,,,,fact,1092
L3-0659,事实上,shìshíshang,,3,,,,,,in fact; in reality; actually; as a matter of fact,1577
L3-0660,事业,shìyè,N,3,,,,,,"undertaking; project; activity; (charitable, political or revolutionary) cause",1326
L3-0661,试题,shìtí,N,3,,,,,,exam question; test topic,18577
L3-0662,试验,shìyàn,V,3,,,,,,experiment; test; to experiment; experimental,2151
L3-0663,适合,shìhé,V,3,,,,,,to fit; to suit,1211
L3-0664,适应,shìyìng,V,3,,,,,,to adapt; to fit; to suit,2147
L3-0665,适用,shìyòng,Adj,3,,,,,,to be applicable,5429
L3-0666,室,shì,N,3,,,,,,surname Shi,1382
L3-0667,收费,shōufèi,V,3,,,,,,to charge a fee,4234
L3-0668,收看,shōukàn,V,3,,,,,,to watch (a TV program),7983
L3-0669,收听,shōutīng,V,3,,,,,,to listen to (a radio broadcast),9778
L3-0670,收音机,shōuyīnjī,N,3,,,,,,radio,9558
L3-0671,手续,shǒuxù,N,3,,,,,,procedure; formalities,5265
L3-0672,手指,shǒuzhǐ,N,3,,,,,,finger,3266
L3-0673,首都,shǒudū,N,3,,,,,,capital (city),4483
L3-0674,首先,shǒuxiān,Adv,3,,,,,,first (of all); in the first place,878
L3-0675,受,shòu,V,3,,,,,,to receive; to accept; to suffer; subjected to,393
L3-0676,受伤,shòushāng,,3,,,,,,to sustain injuries; wounded (in an accident etc); harmed,1454
L3-0677,书架,shūjià,N,3,,,,,,bookshelf,16554
L3-0678,输,shū,V,3,,,,,,to lose; to be beaten; (bound form) to transport; (literary) to donate; to contribute; (coll.) to enter (a password),1403
L3-0679,输入,shūrù,V,3,,,,,,to import; to input,4724
L3-0680,熟人,shúrén,N,3,,,,,,acquaintance; friend,8931
L3-0681,属,shǔ,V,3,,,,,,category; genus (taxonomy); family members; dependents,3739
L3-0682,属于,shǔyú,V,3,,,,,,to be classified as; to belong to; to be part of,1036
L3-0683,束,shù,M,3,,,,,,surname Shu,6473
L3-0684,数量,shùliàng,N,3,,,,,,amount; quantity; quantitative,2916
L3-0685,双,shuāng,M/Adj,3,,,,,,surname Shuang,642
L3-0686,双方,shuāngfāng,N,3,,,,,,bilateral; both sides; both parties involved,2714
L3-0687,思想,sīxiǎng,N,3,,,,,,thought; thinking; idea; ideology,1525
L3-0688,死,sǐ,V/Adj,3,,,,,,to die; impassable; uncrossable; inflexible,177
L3-0689,速度,sùdù,N,3,,,,,,speed; rate; velocity; (music) tempo,1337
L3-0690,随,suí,V,3,,,,,,surname Sui,915
L3-0691,所,suǒ,N/M,3,,,,,,"actually; place; classifier for houses, small buildings, institutions etc; that which",159
L3-0692,所长,suǒzhǎng,N,3,,,,,,head of an institute etc,13535
L3-0693,台,tái,N/M,3,,,,,,Taiwan (abbr.); surname Tai,696
L3-0694,谈,tán,V,3,,,,,,surname Tan,862
L3-0695,谈话,tánhuà,,3,,,,,,to talk (with sb); to have a conversation; talk; conversation,3136
L3-0696,谈判,tánpàn,V/N,3,,,,,,to negotiate; negotiation; talks; conference,2830
L3-0697,汤,tāng,N,3,,,,,,surname Tang,2237
L3-0698,糖,táng,N,3,,,,,,sugar; sweets; candy,2036
L3-0699,特色,tèsè,N,3,,,,,,characteristic; distinguishing feature or quality,4212
L3-0700,提前,tíqián,V,3,,,,,,to shift to an earlier date; to do sth ahead of time; in advance,2206
L3-0701,提问,tíwèn,V,3,,,,,,to question; to quiz; to grill,5085
L3-0702,题目,tímù,N,3,,,,,,subject; title; topic,7020
L3-0703,体会,tǐhuì,V/N,3,,,,,,to know from experience; to learn through experience; to realize; understanding,3605
L3-0704,体现,tǐxiàn,V,3,,,,,,to embody; to reflect; to incarnate,4185
L3-0705,体验,tǐyàn,V,3,,,,,,to experience for oneself,2553
L3-0706,天空,tiānkōng,N,3,,,,,,sky,3292
L3-0707,甜,tián,Adj,3,,,,,,sweet,2472
L3-0708,调,tiáo,V,3,,,,,,to harmonize; to reconcile; to blend; to suit well,1481
L3-0709,调整,tiáozhěng,V,3,,,,,,to adjust; adjustment; revision,2032
L3-0710,跳,tiào,V,3,,,,,,to jump; to hop; to skip over; to bounce,1099
L3-0711,跳高,tiàogāo,V,3,,,,,,high jump (athletics),29918
L3-0712,跳舞,tiàowǔ,,3,,,,,,to dance,3920
L3-0713,跳远,tiàoyuǎn,V,3,,,,,,long jump (athletics),40040
L3-0714,铁,tiě,N,3,,,,,,surname Tie,2193
L3-0715,铁路,tiělù,N,3,,,,,,railroad; railway,4310
L3-0716,听力,tīnglì,N,3,,,,,,hearing; listening ability,10212
L3-0717,听众,tīngzhòng,N,3,,,,,,audience; listeners,8461
L3-0718,停止,tíngzhǐ,V,3,,,,,,to stop; to halt; to cease,1632
L3-0719,通常,tōngcháng,Adj,3,,,,,,regular; usual; normal; usually,1897
L3-0720,通信,tōngxìn,,3,,,,,,to correspond (by letter etc); to communicate; communication,4315
L3-0721,同意,tóngyì,V,3,,,,,,to agree; to consent; to approve,985
L3-0722,痛,tòng,Adj,3,,,,,,ache; pain; sorrow; deeply,1254
L3-0723,痛苦,tòngkǔ,Adj,3,,,,,,pain; suffering; painful,1336
L3-0724,头,tóu,Adj,3,,,,,,head; hair style; the top; end,329
L3-0725,头脑,tóunǎo,N,3,,,,,,brains; mind; skull; (fig.) gist (of a matter),4295
L3-0726,突出,tūchū,Adj/V,3,,,,,,prominent; outstanding; to give prominence to; to protrude,3980
L3-0727,突然,tūrán,Adj,3,,,,,,sudden; abrupt; unexpected,644
L3-0728,图,tú,N,3,,,,,,diagram; picture; drawing; chart,1231
L3-0729,图画,túhuà,N,3,,,,,,drawing; picture,14983
L3-0730,土,tǔ,N,3,,,,,,Tu (ethnic group); surname Tu,2399
L3-0731,团,tuán,N/M,3,,,,,,round; lump; ball; to roll into a ball,1597
L3-0732,团结,tuánjié,V,3,,,,,,to unite; unity; solidarity; united,3060
L3-0733,团体,tuántǐ,N,3,,,,,,group; organization; team,3675
L3-0734,推动,tuīdòng,,3,,,,,,to push (e.g. for acceptance of a plan); to promote; to give impetus to,5417
L3-0735,推广,tuīguǎng,V,3,,,,,,to extend; to spread; to popularize; generalization,6093
L3-0736,推进,tuījìn,V,3,,,,,,to impel; to carry forward; to push on; to advance,3651
L3-0737,推开,tuīkāi,,3,,,,,,to push open (a gate etc); to push away; to reject; to decline,9319
L3-0738,退,tuì,V,3,,,,,,to retreat; to withdraw; to reject; to return (sth); to decline,1809
L3-0739,退出,tuìchū,V,3,,,,,,to withdraw; to abort; to quit; to log out (computing),2723
L3-0740,退休,tuìxiū,,3,,,,,,to retire (from the workforce); to go into retirement,3442
L3-0741,外交,wàijiāo,N,3,,,,,,diplomacy; diplomatic; foreign affairs,5317
L3-0742,外面,wàimiàn,N,3,,,,,,outside (also pr. [wài mian] for this sense); surface; exterior; external appearance,1352
L3-0743,外文,wàiwén,N,3,,,,,,foreign language (written),32623
L3-0744,完美,wánměi,Adj,3,,,,,,perfect,1292
L3-0745,完善,wánshàn,Adj/V,3,,,,,,"(of systems, facilities etc) comprehensive; well-developed; excellent; to refine",5660
L3-0746,完整,wánzhěng,Adj,3,,,,,,complete; intact,2824
L3-0747,玩具,wánjù,N,3,,,,,,plaything; toy,3240
L3-0748,往往,wǎngwǎng,Adv,3,,,,,,usually; in many cases; more often than not,4050
L3-0749,危害,wēihài,V/N,3,,,,,,to jeopardize; to harm; to endanger; harmful effect,5260
L3-0750,危险,wēixiǎn,Adj/N,3,,,,,,danger; dangerous,1201
L3-0751,为,wéi,V,3,,,,,,as (in the capacity of); to take sth as; to act as; to serve as,58
L3-0752,为,wéi,Prep,3,,,,,,as (in the capacity of); to take sth as; to act as; to serve as,58
L3-0753,围,wéi,V,3,,,,,,surname Wei,2818
L3-0754,伟大,wěidà,Adj,3,,,,,,huge; great; grand; worthy of the greatest admiration; important (contribution etc),1387
L3-0755,卫生,wèishēng,Adj/N,3,,,,,,health; hygiene; sanitation,3002
L3-0756,卫生间,wèishēngjiān,N,3,,,,,,bathroom; toilet; WC,7314
L3-0757,为了,wèile,Prep,3,,,,,,for; for the purpose of; in order to,229
L3-0758,温暖,wēnnuǎn,Adj/V,3,,,,,,warm,2753
L3-0759,文化,wénhuà,N,3,,,,,,culture; civilization; cultural,1632
L3-0760,文件,wénjiàn,N,3,,,,,,document; file,1342
L3-0761,文明,wénmíng,N/Adj,3,,,,,,civilized; civilization; culture,3200
L3-0762,文学,wénxué,N,3,,,,,,literature,4277
L3-0763,文章,wénzhāng,N,3,,,,,,article; essay; literary works; writings,1958
L3-0764,文字,wénzì,N,3,,,,,,character; script; writing; written language,4168
L3-0765,握手,wòshǒu,,3,,,,,,to shake hands,6920
L3-0766,屋子,wūzi,N,3,,,,,,house; room,4296
L3-0767,武器,wǔqì,N,3,,,,,,weapon; arms,1505
L3-0768,武术,wǔshù,N,3,,,,,,military skill or technique (in former times); all kinds of martial art sports (some claiming spiritual development); self-defense; tradition of choreographed fights from opera and film (recent usage),9314
L3-0769,舞台,wǔtái,N,3,,,,,,(lit. and fig.) stage; arena,2023
L3-0770,西部,xībù,N,3,,,,,,western part,3207
L3-0771,希望,xīwàng,V/N,3,,,,,,to hope; a hope; a wish,182
L3-0772,系,xì,N,3,,,,,,to connect; to relate to; to tie up; to bind,1415
L3-0773,下来,xiàlái,,3,,,,,,"to come down; (completed action marker); (after verb of motion, indicates motion down and towards us, also fig.); (indicates continuation from the past towards us)",628
L3-0774,下面,xiàmiàn,N,3,,,,,,below; under; next; the following,1459
L3-0775,下去,xiàqù,,3,,,,,,to go down; to descend; to go on; to continue,838
L3-0776,先进,xiānjìn,Adj/N,3,,,,,,advanced (technology); to advance,3190
L3-0777,显得,xiǎnde,V,3,,,,,,to seem; to look; to appear,2352
L3-0778,显然,xiǎnrán,Adj,3,,,,,,clearly; evidently; obviously,1345
